file1	token1	file2	token2
blueberry_banana_bread_6	1	blueberry_banana_bread_2	1
blueberry_banana_bread_6	7	blueberry_banana_bread_2	7
blueberry_banana_bread_6	12	blueberry_banana_bread_2	0
blueberry_banana_bread_6	19	blueberry_banana_bread_2	0
blueberry_banana_bread_6	39	blueberry_banana_bread_2	47
blueberry_banana_bread_6	52	blueberry_banana_bread_2	0
blueberry_banana_bread_6	60	blueberry_banana_bread_2	35
blueberry_banana_bread_6	72	blueberry_banana_bread_2	56
blueberry_banana_bread_6	79	blueberry_banana_bread_2	47
blueberry_banana_bread_6	84	blueberry_banana_bread_2	0
blueberry_banana_bread_6	87	blueberry_banana_bread_2	0
blueberry_banana_bread_6	89	blueberry_banana_bread_2	61
blueberry_banana_bread_6	96	blueberry_banana_bread_2	0
blueberry_banana_bread_6	105	blueberry_banana_bread_2	66
blueberry_banana_bread_6	110	blueberry_banana_bread_2	66
blueberry_banana_bread_6	115	blueberry_banana_bread_2	0
blueberry_banana_bread_6	121	blueberry_banana_bread_2	0
blueberry_banana_bread_6	128	blueberry_banana_bread_2	0
blueberry_banana_bread_6	161	blueberry_banana_bread_2	96
blueberry_banana_bread_6	173	blueberry_banana_bread_2	90
blueberry_banana_bread_6	175	blueberry_banana_bread_2	96
blueberry_banana_bread_6	186	blueberry_banana_bread_2	0
blueberry_banana_bread_6	189	blueberry_banana_bread_2	0
blueberry_banana_bread_6	204	blueberry_banana_bread_2	0
blueberry_banana_bread_6	210	blueberry_banana_bread_2	0
blueberry_banana_bread_6	221	blueberry_banana_bread_2	0
